variant,run_name,seed,evaluation_episodes,first_seed,last_seed,mean_score,std_score,mean_return,std_return,mean_length,std_length,timestamp
momentum_sensitive_double_dqn,momentum_sensitive_double_dqn_seed123,123,30,10000,10029,537.3,177.5059,2290.5845,956.5949,1889.3667,768.6745,2026-06-06T23:12:45
momentum_sensitive_double_dqn,momentum_sensitive_double_dqn_seed2026,2026,30,10000,10029,607.4667,31.9559,3396.663,363.7329,2935.4667,140.6202,2026-06-06T23:20:08
momentum_sensitive_double_dqn,momentum_sensitive_double_dqn_seed42,42,30,10000,10029,483.1333,98.4492,1626.1511,1452.6196,2782.9333,538.1059,2026-06-06T23:06:24
momentum_sensitive_double_dqn,momentum_sensitive_double_dqn_seed7,7,30,10000,10029,494.7667,161.1783,2014.5159,918.7135,2055.5,922.4531,2026-06-06T18:10:08
momentum_sensitive_double_dqn,momentum_sensitive_double_dqn_seed999,999,30,10000,10029,460.1,93.7217,760.8665,2226.3269,2236.8,698.73,2026-06-06T23:16:47
momentum_sensitive_dqn,momentum_sensitive_dqn_seed123,123,30,10000,10029,431.1333,92.9949,1781.5653,489.4898,1489.9667,385.871,2026-06-05T01:06:08
momentum_sensitive_dqn,momentum_sensitive_dqn_seed2026,2026,30,10000,10029,537.2333,199.9016,2797.3048,1218.9087,2440.5,813.5593,2026-06-05T01:16:41
momentum_sensitive_dqn,momentum_sensitive_dqn_seed42,42,30,10000,10029,507.7333,132.572,1479.3446,1757.6766,2638.0333,666.0352,2026-06-05T00:49:38
momentum_sensitive_dqn,momentum_sensitive_dqn_seed7,7,30,10000,10029,583.8333,130.7764,2703.9485,767.5597,2225.3667,607.185,2026-06-05T00:47:12
momentum_sensitive_dqn,momentum_sensitive_dqn_seed999,999,30,10000,10029,586.7,171.2795,2847.9477,1041.8397,2446.1667,828.6471,2026-06-05T01:09:42
vanilla_double_dqn,vanilla_double_dqn_seed123,123,30,10000,10029,501.4,166.0806,2330.1108,858.7722,2007.4333,708.7678,2026-06-04T17:31:08
vanilla_double_dqn,vanilla_double_dqn_seed2026,2026,30,10000,10029,351.9,104.053,296.2373,1493.9162,2134.0,813.2764,2026-06-04T17:33:38
vanilla_double_dqn,vanilla_double_dqn_seed42,42,30,10000,10029,363.1667,222.115,575.2698,2661.5579,1880.4333,369.497,2026-06-04T17:29:33
vanilla_double_dqn,vanilla_double_dqn_seed7,7,30,10000,10029,579.3333,98.0039,2594.0988,707.5508,2350.2333,545.1852,2026-06-04T17:27:59
vanilla_double_dqn,vanilla_double_dqn_seed999,999,30,10000,10029,616.3,65.0831,3137.3704,388.9562,2641.0,311.0357,2026-06-04T17:32:28
vanilla_dqn,vanilla_dqn_seed123,123,30,10000,10029,226.4333,46.8065,849.8268,194.0339,762.6,149.0183,2026-06-04T23:12:11
vanilla_dqn,vanilla_dqn_seed2026,2026,30,10000,10029,474.1667,186.7191,2058.8636,1256.8995,2266.8667,557.4607,2026-06-04T23:16:57
vanilla_dqn,vanilla_dqn_seed42,42,30,10000,10029,438.6333,99.9725,2131.1302,1854.5432,2804.6333,426.8843,2026-06-04T23:09:23
vanilla_dqn,vanilla_dqn_seed7,7,30,10000,10029,555.6,183.3071,2594.0029,990.0061,2146.7333,780.7805,2026-06-04T23:08:07
vanilla_dqn,vanilla_dqn_seed999,999,30,10000,10029,355.3,248.0575,718.384,4402.6865,1579.5,904.218,2026-06-04T23:13:22
