episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,690,-740.7752,8.0,690,0.995,0.0,0.0,0.0,0.0
2,983,1.0369,11.0,293,0.990025,0.0,0.0,0.0,0.0
3,1510,-1169.0073,8.0,527,0.985075,0.0,0.0,0.0,0.0
4,2711,-1501.4042,12.0,1201,0.98015,21.215684,0.0,0.0,0.0
5,3073,66.7793,32.0,362,0.975249,34.289601,0.0,0.0,0.0
6,3588,-247.155,4.0,515,0.970373,20.192498,0.0,0.0,0.0
7,4054,77.8319,16.0,466,0.965521,9.481963,0.0,0.0,0.0
8,4294,-28.7618,4.0,240,0.960693,12.658263,0.0,0.0,0.0
9,4960,-1480.9178,8.0,666,0.95589,21.848594,0.0,0.0,0.0
10,5552,-1282.5155,2.0,592,0.95111,24.637518,0.0,0.0,0.0
11,5647,-30.1542,8.0,95,0.946355,18.304583,0.0,0.0,0.0
12,6592,-609.0768,63.0,945,0.941623,20.455158,0.0,0.0,0.0
13,6724,-128.3188,0.0,132,0.936915,18.324046,0.0,0.0,0.0
14,7103,-567.574,4.0,379,0.93223,27.772306,0.0,0.0,0.0
15,7261,16.6815,8.0,158,0.927569,25.449753,0.0,0.0,0.0
16,7398,-164.8188,0.0,137,0.922931,27.76406,0.0,0.0,0.0
17,7735,-665.0371,3.0,337,0.918316,25.089092,0.0,0.0,0.0
18,8936,-2696.7326,3.0,1201,0.913725,30.845587,0.0,0.0,0.0
19,9398,157.822,23.0,462,0.909156,19.268515,0.0,0.0,0.0
20,9745,-182.8393,12.0,347,0.90461,20.351773,0.0,0.0,0.0
21,9900,-41.2964,5.0,155,0.900087,17.27343,0.0,0.0,0.0
22,10065,16.7129,3.0,165,0.895587,28.381044,0.0,0.0,0.0
23,10249,-90.658,2.0,184,0.891109,26.841828,0.0,0.0,0.0
24,10778,-1402.7188,6.0,529,0.886654,25.915897,0.0,0.0,0.0
25,11031,-125.836,5.0,253,0.88222,24.208118,-2151.3268,7.5,882.7
26,11828,-490.3891,21.0,797,0.877809,24.539039,0.0,0.0,0.0
27,11952,-0.1137,15.0,124,0.87342,38.276161,0.0,0.0,0.0
28,12023,-138.1934,0.0,71,0.869053,38.290033,0.0,0.0,0.0
29,13224,-3465.5502,10.0,1201,0.864708,24.06697,0.0,0.0,0.0
30,13529,69.2237,19.0,305,0.860384,27.23548,0.0,0.0,0.0
31,14559,-1716.1841,4.0,1030,0.856082,29.03484,0.0,0.0,0.0
32,14981,311.7526,25.0,422,0.851802,22.155403,0.0,0.0,0.0
33,15727,-2396.5447,5.0,746,0.847543,23.390119,0.0,0.0,0.0
34,15897,52.9512,15.0,170,0.843305,17.561819,0.0,0.0,0.0
35,16182,57.2267,19.0,285,0.839089,34.726505,0.0,0.0,0.0
36,16352,46.1386,6.0,170,0.834893,20.701832,0.0,0.0,0.0
37,16561,90.7846,17.0,209,0.830719,29.272823,0.0,0.0,0.0
38,16837,81.7781,7.0,276,0.826565,21.424512,0.0,0.0,0.0
39,17185,11.9241,10.0,348,0.822432,24.588827,0.0,0.0,0.0
40,17584,129.6717,20.0,399,0.81832,24.41946,0.0,0.0,0.0
41,18333,-611.0061,14.0,749,0.814229,24.899751,0.0,0.0,0.0
42,18538,76.4417,11.0,205,0.810157,33.818526,0.0,0.0,0.0
43,19097,264.5152,35.0,559,0.806107,27.828167,0.0,0.0,0.0
44,19962,-1636.2961,6.0,865,0.802076,27.069223,0.0,0.0,0.0
45,20134,51.1658,12.0,172,0.798066,26.123879,0.0,0.0,0.0
46,20546,171.3557,28.0,412,0.794075,32.550962,0.0,0.0,0.0
47,20891,-78.5223,17.0,345,0.790105,24.459965,0.0,0.0,0.0
48,22032,-381.865,45.0,1141,0.786154,23.453494,0.0,0.0,0.0
49,22506,408.4549,75.0,474,0.782224,23.636108,0.0,0.0,0.0
50,22647,4.2622,8.0,141,0.778313,20.085174,339.2983,76.5,394.9
51,23102,300.8897,42.0,455,0.774421,24.897256,0.0,0.0,0.0
52,23744,390.2704,57.0,642,0.770549,29.075803,0.0,0.0,0.0
53,24171,336.0461,49.0,427,0.766696,23.101507,0.0,0.0,0.0
54,24545,238.0116,48.0,374,0.762863,38.438169,0.0,0.0,0.0
55,24932,211.7504,72.0,387,0.759048,32.924104,0.0,0.0,0.0
56,25850,443.8586,143.0,918,0.755253,25.275186,0.0,0.0,0.0
57,26398,477.684,84.0,548,0.751477,23.204679,0.0,0.0,0.0
58,26961,-213.7215,8.0,563,0.747719,26.232936,0.0,0.0,0.0
59,27509,305.4538,74.0,548,0.743981,34.056745,0.0,0.0,0.0
60,27825,229.5179,51.0,316,0.740261,28.015675,0.0,0.0,0.0
61,28396,466.7734,41.0,571,0.73656,34.948296,0.0,0.0,0.0
62,28984,502.1688,65.0,588,0.732877,37.437138,0.0,0.0,0.0
63,29609,533.428,66.0,625,0.729212,33.94392,0.0,0.0,0.0
64,30195,520.5171,76.0,586,0.725566,31.82933,0.0,0.0,0.0
65,30986,472.8834,118.0,791,0.721939,28.463413,0.0,0.0,0.0
66,31589,522.0155,60.0,603,0.718329,32.050804,0.0,0.0,0.0
67,32741,1069.1485,125.0,1152,0.714737,35.488905,0.0,0.0,0.0
68,32952,102.1497,22.0,211,0.711164,57.329324,0.0,0.0,0.0
69,35720,1718.9789,227.0,2768,0.707608,36.617265,0.0,0.0,0.0
70,36217,131.8812,50.0,497,0.70407,36.808161,0.0,0.0,0.0
71,36526,232.4362,60.0,309,0.700549,40.638614,0.0,0.0,0.0
72,37107,241.949,45.0,581,0.697047,30.746505,0.0,0.0,0.0
73,37349,137.8727,34.0,242,0.693561,47.700724,0.0,0.0,0.0
74,37851,347.6936,61.0,502,0.690094,32.159562,0.0,0.0,0.0
75,38293,375.2981,65.0,442,0.686643,30.710435,513.8642,201.9,1724.0
76,39099,784.5071,127.0,806,0.68321,43.892585,0.0,0.0,0.0
77,39314,100.7079,31.0,215,0.679794,33.493967,0.0,0.0,0.0
78,40265,750.4877,131.0,951,0.676395,33.638621,0.0,0.0,0.0
79,41006,681.2303,119.0,741,0.673013,68.875753,0.0,0.0,0.0
80,41734,661.5396,88.0,728,0.669648,30.054875,0.0,0.0,0.0
81,41881,-178.9655,0.0,147,0.6663,22.265538,0.0,0.0,0.0
82,41949,-60.3681,4.0,68,0.662968,28.145718,0.0,0.0,0.0
83,42166,-92.0128,6.0,217,0.659653,76.421095,0.0,0.0,0.0
84,42602,356.3229,52.0,436,0.656355,76.656001,0.0,0.0,0.0
85,42908,233.4482,49.0,306,0.653073,35.691546,0.0,0.0,0.0
86,43195,183.2038,29.0,287,0.649808,30.916986,0.0,0.0,0.0
87,43477,182.7428,37.0,282,0.646559,25.252108,0.0,0.0,0.0
