episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,1360,-8749.8019,18.0,1360,0.995,0.0,0.0,0.0,0.0
2,1529,39.5773,7.0,169,0.990025,0.0,0.0,0.0,0.0
3,1849,76.3833,17.0,320,0.985075,0.0,0.0,0.0,0.0
4,2112,172.3542,40.0,263,0.98015,85.265861,0.0,0.0,0.0
5,2623,-593.8971,0.0,511,0.975249,74.20734,0.0,0.0,0.0
6,2889,-55.8828,6.0,266,0.970373,53.560277,0.0,0.0,0.0
7,3360,-268.979,3.0,471,0.965521,41.34706,0.0,0.0,0.0
8,3653,-86.0046,13.0,293,0.960693,40.426973,0.0,0.0,0.0
9,3907,140.5156,26.0,254,0.95589,29.632757,0.0,0.0,0.0
10,4379,193.2912,31.0,472,0.95111,35.726416,0.0,0.0,0.0
11,5079,-399.896,12.0,700,0.946355,39.961651,0.0,0.0,0.0
12,5976,-1831.9907,10.0,897,0.941623,27.899554,0.0,0.0,0.0
13,6050,-55.2141,5.0,74,0.936915,38.179223,0.0,0.0,0.0
14,6386,146.6672,19.0,336,0.93223,41.482535,0.0,0.0,0.0
15,6739,-306.1049,0.0,353,0.927569,42.244265,0.0,0.0,0.0
16,6945,89.0744,20.0,206,0.922931,38.198774,0.0,0.0,0.0
17,7079,15.7296,16.0,134,0.918316,39.371699,0.0,0.0,0.0
18,7351,134.5059,30.0,272,0.913725,31.149905,0.0,0.0,0.0
19,7649,-93.8093,4.0,298,0.909156,33.715331,0.0,0.0,0.0
20,7798,-194.0611,0.0,149,0.90461,23.269481,0.0,0.0,0.0
21,7994,49.4602,17.0,196,0.900087,31.953711,0.0,0.0,0.0
22,8243,137.2531,27.0,249,0.895587,38.635264,0.0,0.0,0.0
23,8446,93.1092,25.0,203,0.891109,25.826869,0.0,0.0,0.0
24,9560,-1038.1403,44.0,1114,0.886654,37.400765,0.0,0.0,0.0
25,9923,-149.0487,21.0,363,0.88222,36.43313,-73.5325,3.0,55.3
26,10058,3.9586,8.0,135,0.877809,25.425677,0.0,0.0,0.0
27,10170,-12.8516,13.0,112,0.87342,41.16751,0.0,0.0,0.0
28,10747,70.1079,43.0,577,0.869053,28.361944,0.0,0.0,0.0
29,10870,-10.5823,10.0,123,0.864708,40.994962,0.0,0.0,0.0
30,10960,-125.315,0.0,90,0.860384,38.689526,0.0,0.0,0.0
31,11369,131.7245,18.0,409,0.856082,32.501436,0.0,0.0,0.0
32,11707,-352.5667,1.0,338,0.851802,29.161432,0.0,0.0,0.0
33,11816,-28.1978,4.0,109,0.847543,36.883264,0.0,0.0,0.0
34,12029,-213.1541,2.0,213,0.843305,26.749739,0.0,0.0,0.0
35,12348,206.153,23.0,319,0.839089,31.191064,0.0,0.0,0.0
36,12500,26.7797,13.0,152,0.834893,47.521813,0.0,0.0,0.0
37,12637,-69.8624,1.0,137,0.830719,29.761728,0.0,0.0,0.0
