episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,642,-1371.5708,9.0,642,0.995,0.0,0.0,0.0,0.0
2,935,1.0349,11.0,293,0.990025,0.0,0.0,0.0,0.0
3,1744,-856.9495,10.0,809,0.985075,0.0,0.0,0.0,0.0
4,3534,-6232.2957,30.0,1790,0.98015,20.659386,0.0,0.0,0.0
5,3859,215.4804,31.0,325,0.975249,34.036054,0.0,0.0,0.0
6,4951,-6469.1559,21.0,1092,0.970373,27.817594,0.0,0.0,0.0
7,5341,147.1918,29.0,390,0.965521,37.354356,0.0,0.0,0.0
8,6432,-2486.939,13.0,1091,0.960693,42.790003,0.0,0.0,0.0
9,7630,-3645.3031,4.0,1198,0.95589,29.986694,0.0,0.0,0.0
10,8470,-633.6929,7.0,840,0.95111,29.167639,0.0,0.0,0.0
11,8713,-491.1637,4.0,243,0.946355,32.206599,0.0,0.0,0.0
12,9285,-983.4505,1.0,572,0.941623,33.120065,0.0,0.0,0.0
13,9778,-484.227,4.0,493,0.936915,36.05908,0.0,0.0,0.0
14,10553,-683.4365,8.0,775,0.93223,31.38524,0.0,0.0,0.0
15,10693,-71.0763,3.0,140,0.927569,25.147083,0.0,0.0,0.0
16,11220,-738.76,11.0,527,0.922931,27.72126,0.0,0.0,0.0
17,11492,54.9543,14.0,272,0.918316,30.302433,0.0,0.0,0.0
18,11913,-126.9453,13.0,421,0.913725,26.991456,0.0,0.0,0.0
19,13114,-7461.3379,13.0,1201,0.909156,30.502704,0.0,0.0,0.0
20,13527,15.6225,16.0,413,0.90461,30.601813,0.0,0.0,0.0
21,13818,-166.655,9.0,291,0.900087,30.75949,0.0,0.0,0.0
22,14291,-1102.8447,7.0,473,0.895587,32.491825,0.0,0.0,0.0
23,15559,-1121.8389,62.0,1268,0.891109,30.139733,0.0,0.0,0.0
24,17242,-1066.5766,59.0,1683,0.886654,29.908079,0.0,0.0,0.0
25,19039,-598.7513,123.0,1797,0.88222,24.693971,-1360.3026,179.4,1450.4
26,19301,146.615,34.0,262,0.877809,21.369375,0.0,0.0,0.0
27,20062,-1106.5303,20.0,761,0.87342,23.873683,0.0,0.0,0.0
28,21143,491.5561,61.0,1081,0.869053,21.326887,0.0,0.0,0.0
29,22240,921.7136,99.0,1097,0.864708,24.167581,0.0,0.0,0.0
30,22534,21.8385,22.0,294,0.860384,28.153451,0.0,0.0,0.0
31,22785,146.358,26.0,251,0.856082,19.011687,0.0,0.0,0.0
32,23511,-2690.3771,10.0,726,0.851802,25.481202,0.0,0.0,0.0
33,24135,156.001,40.0,624,0.847543,21.134442,0.0,0.0,0.0
34,25335,113.9684,64.0,1200,0.843305,20.321138,0.0,0.0,0.0
35,26500,-261.3681,74.0,1165,0.839089,22.41406,0.0,0.0,0.0
36,28837,-1809.4949,116.0,2337,0.834893,22.213845,0.0,0.0,0.0
37,29223,128.4525,29.0,386,0.830719,20.950876,0.0,0.0,0.0
38,29848,-822.9863,16.0,625,0.826565,21.370434,0.0,0.0,0.0
39,30318,-337.4356,12.0,470,0.822432,23.105268,0.0,0.0,0.0
40,30670,-434.4207,1.0,352,0.81832,22.18207,0.0,0.0,0.0
41,31004,146.2592,44.0,334,0.814229,22.52713,0.0,0.0,0.0
42,31788,744.0863,100.0,784,0.810157,24.945063,0.0,0.0,0.0
43,32719,387.5642,92.0,931,0.806107,24.790401,0.0,0.0,0.0
44,33137,12.0158,19.0,418,0.802076,19.51365,0.0,0.0,0.0
45,33541,332.2052,57.0,404,0.798066,23.531139,0.0,0.0,0.0
46,34235,649.5998,88.0,694,0.794075,24.16473,0.0,0.0,0.0
47,34912,46.616,34.0,677,0.790105,22.870712,0.0,0.0,0.0
48,35363,151.3775,29.0,451,0.786154,23.980767,0.0,0.0,0.0
49,35629,67.0761,17.0,266,0.782224,17.290333,0.0,0.0,0.0
50,35991,242.8229,32.0,362,0.778313,26.190699,-128.8522,9.2,1002.6
51,36341,86.5128,27.0,350,0.774421,26.139077,0.0,0.0,0.0
52,36547,68.9113,13.0,206,0.770549,22.457568,0.0,0.0,0.0
53,37550,897.1589,96.0,1003,0.766696,26.628185,0.0,0.0,0.0
54,37924,64.3415,17.0,374,0.762863,20.9083,0.0,0.0,0.0
55,38643,387.7117,75.0,719,0.759048,23.201722,0.0,0.0,0.0
56,39123,321.0298,37.0,480,0.755253,25.832568,0.0,0.0,0.0
57,40306,134.0655,47.0,1183,0.751477,21.988934,0.0,0.0,0.0
58,40665,290.057,63.0,359,0.747719,21.000556,0.0,0.0,0.0
59,41038,258.2505,26.0,373,0.743981,21.994733,0.0,0.0,0.0
60,41774,677.8594,84.0,736,0.740261,26.677384,0.0,0.0,0.0
