episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,202,-296.5609,1.0,202,0.995,0.0,0.0,0.0,0.0
2,2220,-11848.3757,19.0,2018,0.990025,91.491782,0.0,0.0,0.0
3,2297,-52.9985,5.0,77,0.985075,75.714117,0.0,0.0,0.0
4,3380,-2038.0786,8.0,1083,0.98015,83.583473,0.0,0.0,0.0
5,3766,-520.241,2.0,386,0.975249,71.792275,0.0,0.0,0.0
6,4663,-1408.9066,17.0,897,0.970373,53.949664,0.0,0.0,0.0
7,5444,-906.0055,0.0,781,0.965521,44.69554,0.0,0.0,0.0
8,6259,-993.4674,0.0,815,0.960693,40.391663,0.0,0.0,0.0
9,6720,-729.5149,3.0,461,0.95589,38.984017,0.0,0.0,0.0
10,7768,-3702.8557,9.0,1048,0.95111,37.741519,0.0,0.0,0.0
11,8969,-4343.6562,20.0,1201,0.946355,35.223694,0.0,0.0,0.0
12,9436,-21.4192,9.0,467,0.941623,33.259325,0.0,0.0,0.0
13,9623,-3.3727,11.0,187,0.936915,43.644612,0.0,0.0,0.0
14,9994,15.4351,26.0,371,0.93223,34.547595,0.0,0.0,0.0
15,10611,-776.5708,0.0,617,0.927569,42.529783,0.0,0.0,0.0
16,10882,-117.4241,16.0,271,0.922931,39.490181,0.0,0.0,0.0
17,10991,-170.5716,0.0,109,0.918316,34.202942,0.0,0.0,0.0
18,11102,-16.5218,8.0,111,0.913725,39.222111,0.0,0.0,0.0
19,11528,-431.1052,12.0,426,0.909156,34.796187,0.0,0.0,0.0
20,12007,-228.3955,9.0,479,0.90461,31.102471,0.0,0.0,0.0
21,12180,-284.5154,0.0,173,0.900087,32.222946,0.0,0.0,0.0
22,13381,-2091.8441,30.0,1201,0.895587,30.376683,0.0,0.0,0.0
23,13892,-675.9657,10.0,511,0.891109,35.208537,0.0,0.0,0.0
24,14069,58.3089,20.0,177,0.886654,32.641565,0.0,0.0,0.0
25,14287,16.2941,10.0,218,0.88222,30.402408,-71.4722,1.0,58.6
26,14527,115.0176,13.0,240,0.877809,30.565909,0.0,0.0,0.0
27,14864,130.0482,28.0,337,0.87342,35.751423,0.0,0.0,0.0
28,15121,-533.9629,5.0,257,0.869053,34.79042,0.0,0.0,0.0
29,16322,-4137.822,23.0,1201,0.864708,31.420179,0.0,0.0,0.0
30,17028,-264.9328,14.0,706,0.860384,34.605358,0.0,0.0,0.0
31,17287,-511.3244,3.0,259,0.856082,31.820853,0.0,0.0,0.0
32,17369,-176.2538,0.0,82,0.851802,25.300833,0.0,0.0,0.0
33,17637,-604.5777,1.0,268,0.847543,35.759694,0.0,0.0,0.0
34,17943,-21.4776,17.0,306,0.843305,34.892162,0.0,0.0,0.0
35,19144,-1197.631,3.0,1201,0.839089,29.043559,0.0,0.0,0.0
36,19294,29.328,5.0,150,0.834893,26.724838,0.0,0.0,0.0
37,20292,242.751,77.0,998,0.830719,28.555111,0.0,0.0,0.0
38,20841,303.5301,32.0,549,0.826565,32.553842,0.0,0.0,0.0
39,21253,52.0768,28.0,412,0.822432,29.21547,0.0,0.0,0.0
40,21369,-2.0273,12.0,116,0.81832,24.531773,0.0,0.0,0.0
41,21533,-79.3336,5.0,164,0.814229,27.517026,0.0,0.0,0.0
42,21612,-54.7337,6.0,79,0.810157,44.946216,0.0,0.0,0.0
43,21715,-28.1703,8.0,103,0.806107,40.731572,0.0,0.0,0.0
44,22206,212.9619,28.0,491,0.802076,25.225566,0.0,0.0,0.0
45,22381,64.2082,23.0,175,0.798066,31.535302,0.0,0.0,0.0
46,22598,102.2785,23.0,217,0.794075,25.986706,0.0,0.0,0.0
47,22729,4.354,12.0,131,0.790105,32.669949,0.0,0.0,0.0
48,22783,-77.1871,2.0,54,0.786154,53.516639,0.0,0.0,0.0
49,22854,-59.378,4.0,71,0.782224,21.588178,0.0,0.0,0.0
50,23444,-2104.4949,8.0,590,0.778313,33.197261,61.2355,24.5,181.1
51,23739,52.2645,36.0,295,0.774421,40.945456,0.0,0.0,0.0
52,24129,51.0803,18.0,390,0.770549,26.561508,0.0,0.0,0.0
53,24921,205.0701,50.0,792,0.766696,37.550692,0.0,0.0,0.0
54,25210,191.3502,38.0,289,0.762863,32.505576,0.0,0.0,0.0
55,25575,157.8667,29.0,365,0.759048,37.307966,0.0,0.0,0.0
56,25789,93.4808,26.0,214,0.755253,24.452514,0.0,0.0,0.0
57,26057,157.312,27.0,268,0.751477,27.135834,0.0,0.0,0.0
58,26483,319.5091,31.0,426,0.747719,33.10282,0.0,0.0,0.0
59,26584,-27.917,11.0,101,0.743981,19.763796,0.0,0.0,0.0
60,27056,-839.2223,8.0,472,0.740261,31.660343,0.0,0.0,0.0
61,28125,-2548.6007,22.0,1069,0.73656,30.579728,0.0,0.0,0.0
62,28884,-324.194,42.0,759,0.732877,31.506807,0.0,0.0,0.0
63,29152,-292.4869,0.0,268,0.729212,28.303541,0.0,0.0,0.0
64,29363,98.8199,28.0,211,0.725566,33.634121,0.0,0.0,0.0
65,29515,22.2505,14.0,152,0.721939,32.183024,0.0,0.0,0.0
66,29847,209.2647,32.0,332,0.718329,29.779761,0.0,0.0,0.0
67,30224,276.281,39.0,377,0.714737,39.609948,0.0,0.0,0.0
68,30405,46.5491,10.0,181,0.711164,29.97608,0.0,0.0,0.0
69,30591,63.237,22.0,186,0.707608,35.31774,0.0,0.0,0.0
70,32387,-567.0118,145.0,1796,0.70407,30.785635,0.0,0.0,0.0
71,32866,430.921,89.0,479,0.700549,38.315373,0.0,0.0,0.0
72,33225,206.5456,28.0,359,0.697047,28.996454,0.0,0.0,0.0
73,33571,146.6419,23.0,346,0.693561,38.539409,0.0,0.0,0.0
74,34419,-311.2422,32.0,848,0.690094,38.36883,0.0,0.0,0.0
75,34691,176.1174,46.0,272,0.686643,42.887846,-856.5928,7.6,1077.6
