episode,global_step,episode_return,episode_score,episode_length,epsilon,mean_loss,eval_mean_return,eval_mean_score,eval_mean_length
1,202,-296.5669,1.0,202,0.995,0.0,0.0,0.0,0.0
2,1300,-4080.3011,7.0,1098,0.990025,0.0,0.0,0.0,0.0
3,2501,-6908.2579,10.0,1201,0.985075,31.724387,0.0,0.0,0.0
4,2798,148.4335,32.0,297,0.98015,38.084719,0.0,0.0,0.0
5,3385,-2009.6437,3.0,587,0.975249,30.90356,0.0,0.0,0.0
6,4333,-2223.701,10.0,948,0.970373,28.219356,0.0,0.0,0.0
7,4795,-186.9801,16.0,462,0.965521,37.307184,0.0,0.0,0.0
8,5944,-7046.1333,15.0,1149,0.960693,32.157273,0.0,0.0,0.0
9,6087,-260.712,0.0,143,0.95589,43.100351,0.0,0.0,0.0
10,8676,-9503.184,63.0,2589,0.95111,35.234887,0.0,0.0,0.0
11,8898,5.6804,5.0,222,0.946355,43.445575,0.0,0.0,0.0
12,10099,-1296.3081,2.0,1201,0.941623,34.943431,0.0,0.0,0.0
13,10283,-96.1428,2.0,184,0.936915,37.473502,0.0,0.0,0.0
14,11102,-1285.4573,2.0,819,0.93223,38.630312,0.0,0.0,0.0
15,11541,-274.279,25.0,439,0.927569,40.419959,0.0,0.0,0.0
16,11787,-356.1193,1.0,246,0.922931,43.779014,0.0,0.0,0.0
17,12367,-1834.9886,5.0,580,0.918316,32.035846,0.0,0.0,0.0
18,12670,-307.5598,0.0,303,0.913725,37.14489,0.0,0.0,0.0
19,14623,-451.148,67.0,1953,0.909156,33.451023,0.0,0.0,0.0
20,14887,142.9303,22.0,264,0.90461,32.738611,0.0,0.0,0.0
21,15113,-140.0885,1.0,226,0.900087,33.342335,0.0,0.0,0.0
22,15685,-798.0756,1.0,572,0.895587,34.489855,0.0,0.0,0.0
23,16886,-2154.0609,20.0,1201,0.891109,32.887611,0.0,0.0,0.0
24,17575,-1912.8331,4.0,689,0.886654,34.536478,0.0,0.0,0.0
